Account,date,sentiment_bucket,classification,daily_pnl,n_trades,n_wins,avg_trade_size_usd,total_volume_usd,n_long,win_rate,n_short,long_short_ratio,is_profitable_day
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-30,Fear,Fear,0.0,3,0,9164.183333333334,27492.550000000003,3,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-02,Fear,Fear,0.0,2,0,15000.21,30000.42,2,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-04,Fear,Fear,0.0,1,0,35004.98,35004.98,1,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-06,Fear,Extreme Fear,0.0,4,0,8747.6675,34990.67,4,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-20,Neutral,Neutral,9585.03428,12,8,25380.9675,304571.61,12,0.6666666666666666,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-22,Neutral,Neutral,0.0,3,0,6666.579999999999,19999.739999999998,3,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-23,Neutral,Neutral,334.760796,2,1,20167.145,40334.29,2,0.5,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-25,Greed,Greed,0.0,6,0,8333.518333333333,50001.11,6,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-26,Neutral,Neutral,439.812513,3,2,26813.47333333333,80440.42,2,0.6666666666666666,1,2.0,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-27,Greed,Greed,0.0,10,0,9999.232,99992.31999999999,0,0.0,10,0.0,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-30,Greed,Greed,2710.626288,10,5,17728.09,177280.9,5,0.5,5,1.0,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-01,Neutral,Neutral,0.0,4,0,34988.58,139954.32,4,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-02,Fear,Fear,0.0,4,0,24988.585,99954.34,4,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-03,Fear,Fear,0.0,4,0,30002.25,120009.0,4,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-05,Neutral,Neutral,5767.161892,36,24,16822.36472222222,605605.13,31,0.6666666666666666,5,6.2,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-06,Neutral,Neutral,130.487079,22,5,13642.298181818182,300130.56,11,0.22727272727272727,11,1.0,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-07,Neutral,Neutral,0.0,21,0,10475.459523809524,219984.65,0,0.0,21,0.0,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-08,Neutral,Neutral,5396.546638,35,33,12416.672857142858,434583.55,1,0.9428571428571428,34,0.029411764705882353,True
